event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20160612156_2017-09-23 22:00:00,20160612156,2017-09-23 22:00:00,DIV9-1E-1008-2,Division 9,DIV9-1E,DIV9-1E-1008
bm_20160917024_2017-09-13 06:29:00,20160917024,2017-09-13 06:29:00,DIV10-2A-2122-1,Division 10,DIV10-2A,DIV10-2A-2122
bm_20170921183_2017-09-22 01:30:00,20170921183,2017-09-22 01:30:00,DIV8-2W-2219-2,Division 8,DIV8-2W,DIV8-2W-2219
bm_20170721062_2017-07-22 00:15:00,20170721062,2017-07-22 00:15:00,DIV6-1C-8-1,Division 6,DIV6-1C,DIV6-1C-8
bm_20160419128_2017-09-17 08:25:00,20160419128,2017-09-17 08:25:00,DIV6-1D-9-1,Division 6,DIV6-1D,DIV6-1D-9
bm_20170620081_2017-08-10 00:30:00,20170620081,2017-08-10 00:30:00,DIV6-1C-3-2,Division 6,DIV6-1C,DIV6-1C-3
bm_20170722006_2017-07-23 00:00:00,20170722006,2017-07-23 00:00:00,DIV6-1C-9-1,Division 6,DIV6-1C,DIV6-1C-9
bm_20170227133_2017-07-06 12:30:00,20170227133,2017-07-06 12:30:00,DIV6-1D-14-1,Division 6,DIV6-1D,DIV6-1D-14
bm_20160223001_2017-08-03 21:00:00,20160223001,2017-08-03 21:00:00,DIV10-2D-2401-2,Division 10,DIV10-2D,DIV10-2D-2401
bm_20150502132_2017-07-12 16:46:00,20150502132,2017-07-12 16:46:00,DIV6-1C-15-1,Division 6,DIV6-1C,DIV6-1C-15
bm_20170601097_2017-06-08 00:00:00,20170601097,2017-06-08 00:00:00,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT
bm_20170504016_2017-05-20 08:30:00,20170504016,2017-05-20 08:30:00,Div11-DJ-408-2,Division 11,DIV11-DJ,DIV11-DJ-408
bm_20131030277_2017-09-25 21:00:00,20131030277,2017-09-25 21:00:00,Div11-CH-404-1,Division 11,DIV11-CH,DIV11-CH-404
bm_20160130024_2017-09-15 12:30:00,20160130024,2017-09-15 12:30:00,DIV9-3F-3227-1,Division 9,DIV9-3F,DIV9-3F-3227
bm_20170527165_2017-09-25 23:30:00,20170527165,2017-09-25 23:30:00,Div11-DJ-407-1,Division 11,DIV11-DJ,DIV11-DJ-407
bm_20170324184_2017-09-23 20:00:00,20170324184,2017-09-23 20:00:00,DIV6-2L-22-2,Division 6,DIV6-2L,DIV6-2L-22
bm_20160719110_2017-09-23 00:00:00,20160719110,2017-09-23 00:00:00,DIV6-2L-12-1,Division 6,DIV6-2L,DIV6-2L-12
