event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20180613224_2018-06-14 02:00:00,20180613224,2018-06-14 02:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20140813208_2018-11-24 11:30:00,20140813208,2018-11-24 11:30:00,DIV9-2A-2132-1,Division 9,DIV9-2A,DIV9-2A-2132
bm_20160324216_2019-02-28 03:00:00,20160324216,2019-02-28 03:00:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20120831235_2019-02-28 12:00:00,20120831235,2019-02-28 12:00:00,DIV9-3A-3326-1,Division 9,DIV9-3A,DIV9-3A-3326
bm_20180325159_2019-02-28 11:00:00,20180325159,2019-02-28 11:00:00,DIV2-D2-S-44,Division 2,DIV2-D2,DIV2-D2-S
bm_20180611131_2019-02-20 03:30:00,20180611131,2019-02-20 03:30:00,DIV2-D2-P-11,Division 2,DIV2-D2,DIV2-D2-P
bm_20180903185_2019-01-05 14:30:00,20180903185,2019-01-05 14:30:00,DIV2-D2-U-29,Division 2,DIV2-D2,DIV2-D2-U
bm_20140822017_2019-01-14 11:11:00,20140822017,2019-01-14 11:11:00,DIV10-4B-4204-1,Division 10,DIV10-4B,DIV10-4B-4204
bm_20181009229_2018-11-23 08:00:00,20181009229,2018-11-23 08:00:00,DIV9-1A-1328-1,Division 9,DIV9-1A,DIV9-1A-1328
bm_20180725233_2019-02-27 13:50:00,20180725233,2019-02-27 13:50:00,DIV9-1B-1303-2,Division 9,DIV9-1B,DIV9-1B-1303
bm_20120831235_2019-02-01 08:30:00,20120831235,2019-02-01 08:30:00,DIV08-3F-D4-23,Division 8 RTU,DIV08-3F,DIV08-3F-D4
bm_20171106132_2019-02-27 13:45:00,20171106132,2019-02-27 13:45:00,DIV9-1H-1266-2,Division 9,DIV9-1H,DIV9-1H-1266
bm_20180926143_2019-02-23 12:00:00,20180926143,2019-02-23 12:00:00,DIV9-1H-1065-1,Division 9,DIV9-1H,DIV9-1H-1065
bm_20180720134_2019-02-22 04:00:00,20180720134,2019-02-22 04:00:00,DIV9-1H-1060-2,Division 9,DIV9-1H,DIV9-1H-1060
bm_20180325159_2019-01-26 18:00:00,20180325159,2019-01-26 18:00:00,DIV2-D3-CC-32,Division 2,DIV2-D3,DIV2-D3-CC
bm_20180120084_2019-02-27 13:44:00,20180120084,2019-02-27 13:44:00,Div11-CF-306-1,Division 11,DIV11-CF,DIV11-CF-306
bm_20180620016_2019-02-27 13:30:00,20180620016,2019-02-27 13:30:00,DIV6-1D-10-2,Division 6,DIV6-1D,DIV6-1D-10
bm_20180704138_2019-01-18 13:30:00,20180704138,2019-01-18 13:30:00,DIV5-2E-13-1,Division 5,DIV5-2E,DIV5-2E-13
bm_20181023088_2019-02-07 08:00:00,20181023088,2019-02-07 08:00:00,DIV6-1C-11-2,Division 6,DIV6-1C,DIV6-1C-11
bm_20180226185_2019-02-28 01:00:00,20180226185,2019-02-28 01:00:00,DIV08-2F-D2-30,Division 8 RTU,DIV08-2F,DIV08-2F-D2
bm_20180820190_2019-02-04 16:48:00,20180820190,2019-02-04 16:48:00,DIV8-2S-2117-4,Division 8,DIV8-2S,DIV8-2S-2117
bm_20181101070_2018-11-02 11:51:00,20181101070,2018-11-02 11:51:00,DIV08-3G-D5-7_C,Division 8 RTU,DIV08-3G,DIV08-3G-D5
bm_20180708021_2019-02-20 11:00:00,20180708021,2019-02-20 11:00:00,DIV9-1A-1135-2,Division 9,DIV9-1A,DIV9-1A-1135
bm_20180114164_2018-11-29 12:00:00,20180114164,2018-11-29 12:00:00,DIV9-1A-1135-1,Division 9,DIV9-1A,DIV9-1A-1135
bm_20180319130_2019-01-09 13:30:00,20180319130,2019-01-09 13:30:00,DIV6-2K-8-2,Division 6,DIV6-2K,DIV6-2K-8
bm_20150807245_2019-02-27 21:00:00,20150807245,2019-02-27 21:00:00,DIV9-1A-1327-1,Division 9,DIV9-1A,DIV9-1A-1327
bm_20160810197_2019-02-20 15:00:00,20160810197,2019-02-20 15:00:00,DIV10-3A-3101-1,Division 10,DIV10-3A,DIV10-3A-3101
bm_20180117128_2019-02-27 01:30:00,20180117128,2019-02-27 01:30:00,Div11-DJ-408-1,Division 11,DIV11-DJ,DIV11-DJ-408
bm_20180730080_2019-02-27 04:00:00,20180730080,2019-02-27 04:00:00,DIV08-4H-D6-4,Division 8 RTU,DIV08-4H,DIV08-4H-D6
bm_20180125134_2019-02-25 23:30:00,20180125134,2019-02-25 23:30:00,Div11-DB-108-2,Division 11,DIV11-DB,DIV11-DB-108
bm_20180605187_2019-02-25 23:00:00,20180605187,2019-02-25 23:00:00,Div11-BJ-402-1,Division 11,DIV11-BJ,DIV11-BJ-402
bm_20180919219_2018-09-27 12:00:00,20180919219,2018-09-27 12:00:00,Div11-BH-304-1,Division 11,DIV11-BH,DIV11-BH-304
bm_20170119148_2019-01-28 02:00:00,20170119148,2019-01-28 02:00:00,DIV08-3E-8-1,Division 8 RTU,DIV08-3E,DIV08-3E-8
bm_20180315117_2019-01-26 20:30:00,20180315117,2019-01-26 20:30:00,DIV6-2R-15-2,Division 6,DIV6-2R,DIV6-2R-15
bm_20180806055_2019-02-21 21:00:00,20180806055,2019-02-21 21:00:00,DIV6-2H-1-1,Division 6,DIV6-2H,DIV6-2H-1
bm_20180420013_2018-12-18 12:30:00,20180420013,2018-12-18 12:30:00,DIV6-1R-5-1,Division 6,DIV6-1R,DIV6-1R-5
bm_20180512063_2019-02-15 16:00:00,20180512063,2019-02-15 16:00:00,DIV6-1A-16-2,Division 6,DIV6-1A,DIV6-1A-16
bm_20181108224_2019-02-15 10:00:00,20181108224,2019-02-15 10:00:00,DIV2-D3-DD-14,Division 2,DIV2-D3,DIV2-D3-DD
bm_20180326046_2019-02-27 00:30:00,20180326046,2019-02-27 00:30:00,DIV2-D2-N-30,Division 2,DIV2-D2,DIV2-D2-N
bm_20180418142_2018-12-31 12:30:00,20180418142,2018-12-31 12:30:00,DIV2-D2-W-17,Division 2,DIV2-D2,DIV2-D2-W
bm_20180623070_2018-07-24 08:30:00,20180623070,2018-07-24 08:30:00,DIV2-D2-S-44,Division 2,DIV2-D2,DIV2-D2-S
bm_20180607031_2019-02-25 11:00:00,20180607031,2019-02-25 11:00:00,DIV6-1L-7-2,Division 6,DIV6-1L,DIV6-1L-7
bm_20180807014_2018-12-22 12:00:00,20180807014,2018-12-22 12:00:00,Div11-AA-107-2,Division 11,DIV11-AA,DIV11-AA-107
bm_20170115110_2018-11-02 12:00:00,20170115110,2018-11-02 12:00:00,DIV6-2P-20-1,Division 6,DIV6-2P,DIV6-2P-20
bm_20180323020_2019-01-10 11:30:00,20180323020,2019-01-10 11:30:00,DIV2-D2-R-10,Division 2,DIV2-D2,DIV2-D2-R
bm_20180529001_2018-10-12 12:52:00,20180529001,2018-10-12 12:52:00,DIV8-3N-3243-4_X,Division 8,DIV8-3N,DIV8-3N-3243
bm_20180928050_2019-02-26 12:00:00,20180928050,2019-02-26 12:00:00,DIV9-3A-3326-2,Division 9,DIV9-3A,DIV9-3A-3326
bm_20180219023_2019-02-05 13:30:00,20180219023,2019-02-05 13:30:00,DIV9-2H-2259-1,Division 9,DIV9-2H,DIV9-2H-2259
bm_20160620109_2019-02-22 12:00:00,20160620109,2019-02-22 12:00:00,DIV10-4C-4312-1,Division 10,DIV10-4C,DIV10-4C-4312
bm_20160324216_2018-12-12 20:00:00,20160324216,2018-12-12 20:00:00,DIV9-1C-1362-1,Division 9,DIV9-1C,DIV9-1C-1362
bm_20171111164_2018-07-06 18:00:00,20171111164,2018-07-06 18:00:00,DIV10-1A-1104-1,Division 10,DIV10-1A,DIV10-1A-1104
bm_20180528048_2019-02-26 21:30:00,20180528048,2019-02-26 21:30:00,DIV10-3C-3317-2,Division 10,DIV10-3C,DIV10-3C-3317
bm_20180226185_2019-02-25 03:00:00,20180226185,2019-02-25 03:00:00,DIV8-2N-2261-1,Division 8,DIV8-2N,DIV8-2N-2261
bm_20180314179_2019-02-24 13:30:00,20180314179,2019-02-24 13:30:00,DIV8-2N-2261-4,Division 8,DIV8-2N,DIV8-2N-2261
bm_20171014189_2019-01-20 13:00:00,20171014189,2019-01-20 13:00:00,DIV5-2E-13-2,Division 5,DIV5-2E,DIV5-2E-13
bm_20180202027_2019-02-27 04:30:00,20180202027,2019-02-27 04:30:00,DIV 15-EMAW-EM AWOLS-GENERAL,Division 15,DIV15-EMAW,DIV15-EMAW-EM AWOLS
bm_20180228134_2019-02-13 12:00:00,20180228134,2019-02-13 12:00:00,Div11-DB-202-1,Division 11,DIV11-DB,DIV11-DB-202
bm_20180602104_2019-01-22 12:30:00,20180602104,2019-01-22 12:30:00,DIV5-2E-17-1,Division 5,DIV5-2E,DIV5-2E-17
bm_20180509014_2019-02-26 10:47:00,20180509014,2019-02-26 10:47:00,DIV10-3D-3415-1,Division 10,DIV10-3D,DIV10-3D-3415
bm_20180412144_2018-08-17 08:00:00,20180412144,2018-08-17 08:00:00,DIV15-FEM-FEMALE ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-FEM,DIV15-FEM-FEMALE ELECTRONIC MONITORING
bm_20161115104_2019-02-26 16:00:00,20161115104,2019-02-26 16:00:00,DIV9-1G-1090-1,Division 9,DIV9-1G,DIV9-1G-1090
bm_20150807245_2019-02-25 19:00:00,20150807245,2019-02-25 19:00:00,DIV8-3N-3231-1,Division 8,DIV8-3N,DIV8-3N-3231
bm_20171223044_2019-02-22 11:30:00,20171223044,2019-02-22 11:30:00,DIV08-4G-D5-7,Division 8 RTU,DIV08-4G,DIV08-4G-D5
bm_20180325162_2019-02-21 09:30:00,20180325162,2019-02-21 09:30:00,DIV6-1D-18-1,Division 6,DIV6-1D,DIV6-1D-18
bm_20170901097_2019-02-26 16:00:00,20170901097,2019-02-26 16:00:00,DIV9-1G-1084-2,Division 9,DIV9-1G,DIV9-1G-1084
bm_20180330219_2019-02-26 12:00:00,20180330219,2019-02-26 12:00:00,DIV9-3A-3333-1,Division 9,DIV9-3A,DIV9-3A-3333
bm_20170513096_2019-02-07 09:48:00,20170513096,2019-02-07 09:48:00,DIV10-3D-3407-2,Division 10,DIV10-3D,DIV10-3D-3407
bm_20180506103_2019-02-26 21:00:00,20180506103,2019-02-26 21:00:00,DIV08-4G-D5-23,Division 8 RTU,DIV08-4G,DIV08-4G-D5
bm_20171208153_2019-02-26 21:00:00,20171208153,2019-02-26 21:00:00,DIV10-3C-3305-1,Division 10,DIV10-3C,DIV10-3C-3305
bm_20170321211_2019-01-27 21:30:00,20170321211,2019-01-27 21:30:00,DIV08-2A-1-1,Division 8 RTU,DIV08-2A,DIV08-2A-1
bm_20180725068_2019-02-19 16:00:00,20180725068,2019-02-19 16:00:00,DIV08-4D-D3-2_X,Division 8 RTU,DIV08-4D,DIV08-4D-D3
bm_20170123119_2018-11-28 13:00:00,20170123119,2018-11-28 13:00:00,DIV9-2C-2363-1,Division 9,DIV9-2C,DIV9-2C-2363
bm_20180301118_2018-12-12 23:30:00,20180301118,2018-12-12 23:30:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20171208054_2018-05-29 10:00:00,20171208054,2018-05-29 10:00:00,DIV9-3B-3102-1,Division 9,DIV9-3B,DIV9-3B-3102
bm_20171019207_2018-12-26 09:30:00,20171019207,2018-12-26 09:30:00,DIV9-3D-3387-1,Division 9,DIV9-3D,DIV9-3D-3387
bm_20180628197_2019-01-24 12:00:00,20180628197,2019-01-24 12:00:00,DIV08-5F-D4-16,Division 8 RTU,DIV08-5F,DIV08-5F-D4
bm_20180315072_2019-02-22 04:17:00,20180315072,2019-02-22 04:17:00,DIV 15-EMAW-EM AWOLS-GENERAL,Division 15,DIV15-EMAW,DIV15-EMAW-EM AWOLS
bm_20181028094_2019-02-07 08:00:00,20181028094,2019-02-07 08:00:00,DIV6-1D-14-1,Division 6,DIV6-1D,DIV6-1D-14
bm_20180111096_2019-02-20 18:30:00,20180111096,2019-02-20 18:30:00,DIV9-1H-1267-2,Division 9,DIV9-1H,DIV9-1H-1267
bm_20180627120_2019-02-24 13:30:00,20180627120,2019-02-24 13:30:00,DIV10-3B-3221-1,Division 10,DIV10-3B,DIV10-3B-3221
bm_20160107208_2019-01-15 22:30:00,20160107208,2019-01-15 22:30:00,DIV9-2H-2258-1,Division 9,DIV9-2H,DIV9-2H-2258
bm_20180627032_2019-01-08 08:30:00,20180627032,2019-01-08 08:30:00,DIV2-D2-W-43,Division 2,DIV2-D2,DIV2-D2-W
bm_20180410194_2019-02-26 18:30:00,20180410194,2019-02-26 18:30:00,DIV6-1L-4-1,Division 6,DIV6-1L,DIV6-1L-4
bm_20181119104_2019-01-28 13:41:00,20181119104,2019-01-28 13:41:00,DIV6-2C-7-2,Division 6,DIV6-2C,DIV6-2C-7
bm_20170425019_2019-02-06 13:00:00,20170425019,2019-02-06 13:00:00,DIV08-4A-1-1,Division 8 RTU,DIV08-4A,DIV08-4A-1
bm_20180725233_2019-02-27 00:30:00,20180725233,2019-02-27 00:30:00,DIV08-4E-5-1,Division 8 RTU,DIV08-4E,DIV08-4E-5
bm_20180620016_2019-02-21 18:00:00,20180620016,2019-02-21 18:00:00,DIV10-3C-3316-2,Division 10,DIV10-3C,DIV10-3C-3316
bm_20171106132_2019-02-22 11:00:00,20171106132,2019-02-22 11:00:00,DIV9-1H-1261-1,Division 9,DIV9-1H,DIV9-1H-1261
bm_20180619088_2018-12-08 09:00:00,20180619088,2018-12-08 09:00:00,DIV10-3C-3313-1,Division 10,DIV10-3C,DIV10-3C-3313
bm_20180316223_2018-12-12 20:30:00,20180316223,2018-12-12 20:30:00,DIV10-1C-1319-2,Division 10,DIV10-1C,DIV10-1C-1319
bm_20180617106_2019-02-13 11:30:00,20180617106,2019-02-13 11:30:00,DIV5-2M-17-2,Division 5,DIV5-2M,DIV5-2M-17
bm_20180404218_2019-02-13 11:00:00,20180404218,2019-02-13 11:00:00,DIV9-1A-1327-1,Division 9,DIV9-1A,DIV9-1A-1327
bm_20180120084_2019-01-28 05:00:00,20180120084,2019-01-28 05:00:00,DIV08-3H-D6-12,Division 8 RTU,DIV08-3H,DIV08-3H-D6
bm_20181018005_2019-02-23 12:30:00,20181018005,2019-02-23 12:30:00,DIV08-5A-8-1,Division 8 RTU,DIV08-5A,DIV08-5A-8
bm_20180331111_2018-09-04 23:00:00,20180331111,2018-09-04 23:00:00,Div11-AH-307-2,Division 11,DIV11-AH,DIV11-AH-307
bm_20171222216_2019-02-21 21:00:00,20171222216,2019-02-21 21:00:00,DIV08-5A-3-1,Division 8 RTU,DIV08-5A,DIV08-5A-3
bm_20181116112_2019-02-21 21:00:00,20181116112,2019-02-21 21:00:00,DIV08-5A-1-1,Division 8 RTU,DIV08-5A,DIV08-5A-1
bm_20170715127_2019-01-11 09:30:00,20170715127,2019-01-11 09:30:00,DIV9-3C-3168-1,Division 9,DIV9-3C,DIV9-3C-3168
bm_20180217001_2019-02-24 18:30:00,20180217001,2019-02-24 18:30:00,DIV8-3W-3221-2,Division 8,DIV8-3W,DIV8-3W-3221
bm_20181110021_2019-02-26 20:40:00,20181110021,2019-02-26 20:40:00,DIV2-D3-CC-31,Division 2,DIV2-D3,DIV2-D3-CC
bm_20180225058_2019-02-23 13:16:00,20180225058,2019-02-23 13:16:00,DIV8-3N-Dayroom-DR,Division 8,DIV8-3N,DIV8-3N-Dayroom
bm_20190106049_2019-02-15 10:13:00,20190106049,2019-02-15 10:13:00,DIV2-D3-DD-32,Division 2,DIV2-D3,DIV2-D3-DD
bm_20180803045_2019-02-26 21:30:00,20180803045,2019-02-26 21:30:00,DIV10-3A-3105-2,Division 10,DIV10-3A,DIV10-3A-3105
bm_20180424134_2019-02-04 21:30:00,20180424134,2019-02-04 21:30:00,DIV08-5H-D6-38,Division 8 RTU,DIV08-5H,DIV08-5H-D6
bm_20180209068_2018-02-09 17:00:00,20180209068,2018-02-09 17:00:00,Div11-CD-208-1,Division 11,DIV11-CD,DIV11-CD-208
bm_20180821150_2019-01-09 13:00:00,20180821150,2019-01-09 13:00:00,DIV5-2L-14-2,Division 5,DIV5-2L,DIV5-2L-14
bm_20180405095_2019-02-26 01:30:00,20180405095,2019-02-26 01:30:00,DIV6-2R-12-2,Division 6,DIV6-2R,DIV6-2R-12
bm_20181207086_2019-02-19 14:30:00,20181207086,2019-02-19 14:30:00,DIV6-2R-12-1,Division 6,DIV6-2R,DIV6-2R-12
bm_20180202027_2019-01-05 00:00:00,20180202027,2019-01-05 00:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20180730080_2019-02-26 23:30:00,20180730080,2019-02-26 23:30:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20180413050_2019-01-24 10:00:00,20180413050,2019-01-24 10:00:00,Div11-AJ-309-1,Division 11,DIV11-AJ,DIV11-AJ-309
bm_20180725233_2019-02-20 20:30:00,20180725233,2019-02-20 20:30:00,Div11-CJ-309-2,Division 11,DIV11-CJ,DIV11-CJ-309
bm_20141005192_2018-10-10 19:30:00,20141005192,2018-10-10 19:30:00,Div11-CF-306-1,Division 11,DIV11-CF,DIV11-CF-306
bm_20180730080_2019-02-26 21:30:00,20180730080,2019-02-26 21:30:00,DIV10-4A-4117-1,Division 10,DIV10-4A,DIV10-4A-4117
bm_20170620081_2019-01-22 11:00:00,20170620081,2019-01-22 11:00:00,DIV9-3G-3289-1,Division 9,DIV9-3G,DIV9-3G-3289
bm_20160112162_2019-01-19 10:30:00,20160112162,2019-01-19 10:30:00,DIV9-3G-3286-1,Division 9,DIV9-3G,DIV9-3G-3286
bm_20150806288_2018-08-10 01:30:00,20150806288,2018-08-10 01:30:00,DIV9-1B-1303-2,Division 9,DIV9-1B,DIV9-1B-1303
bm_20180730080_2019-01-05 12:58:00,20180730080,2019-01-05 12:58:00,DIV10-2C-2323-1,Division 10,DIV10-2C,DIV10-2C-2323
bm_20180602130_2018-12-22 18:00:00,20180602130,2018-12-22 18:00:00,DIV2-D2-O-40,Division 2,DIV2-D2,DIV2-D2-O
bm_20180528048_2019-02-26 12:00:00,20180528048,2019-02-26 12:00:00,DIV10-2C-2319-1,Division 10,DIV10-2C,DIV10-2C-2319
bm_20180803045_2019-02-25 13:50:00,20180803045,2019-02-25 13:50:00,DIV10-2C-2318-2,Division 10,DIV10-2C,DIV10-2C-2318
bm_20161207002_2019-02-26 14:30:00,20161207002,2019-02-26 14:30:00,DIV8-3S-Dayroom-DR,Division 8,DIV8-3S,DIV8-3S-Dayroom
bm_20181030109_2019-01-17 17:30:00,20181030109,2019-01-17 17:30:00,DIV10-3C-3317-2,Division 10,DIV10-3C,DIV10-3C-3317
bm_20171208153_2019-02-15 09:00:00,20171208153,2019-02-15 09:00:00,DIV10-4A-4120-2,Division 10,DIV10-4A,DIV10-4A-4120
bm_20171117020_2019-02-07 08:00:00,20171117020,2019-02-07 08:00:00,DIV6-1D-18-2,Division 6,DIV6-1D,DIV6-1D-18
bm_20171010126_2019-02-02 00:00:00,20171010126,2019-02-02 00:00:00,DIV6-1N-20-2,Division 6,DIV6-1N,DIV6-1N-20
bm_20180117128_2018-01-11 00:00:00,20180117128,2018-01-11 00:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20180601198_2019-01-29 10:30:00,20180601198,2019-01-29 10:30:00,DIV6-2N-22-2,Division 6,DIV6-2N,DIV6-2N-22
bm_20180313052_2019-02-22 19:30:00,20180313052,2019-02-22 19:30:00,DIV8-3W-3217-4,Division 8,DIV8-3W,DIV8-3W-3217
bm_20180506103_2019-02-21 21:30:00,20180506103,2019-02-21 21:30:00,DIV8-2N-2237-2_X,Division 8,DIV8-2N,DIV8-2N-2237
bm_20180326046_2018-10-17 23:30:00,20180326046,2018-10-17 23:30:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20180908068_2019-02-24 17:00:00,20180908068,2019-02-24 17:00:00,DIV10-2C-2324-2,Division 10,DIV10-2C,DIV10-2C-2324
bm_20181110021_2019-02-21 00:00:00,20181110021,2019-02-21 00:00:00,DIV6-1A-13-2,Division 6,DIV6-1A,DIV6-1A-13
bm_20180621162_2019-02-15 15:00:00,20180621162,2019-02-15 15:00:00,DIV6-1A-2-2,Division 6,DIV6-1A,DIV6-1A-2
bm_20180428132_2019-02-20 10:00:00,20180428132,2019-02-20 10:00:00,DIV6-1A-9-2,Division 6,DIV6-1A,DIV6-1A-9
bm_20181019136_2019-02-23 12:30:00,20181019136,2019-02-23 12:30:00,DIV6-2H-12-2,Division 6,DIV6-2H,DIV6-2H-12
bm_20180414027_2019-02-19 11:00:00,20180414027,2019-02-19 11:00:00,DIV9-2C-2166-2,Division 9,DIV9-2C,DIV9-2C-2166
bm_20180826119_2019-02-22 23:00:00,20180826119,2019-02-22 23:00:00,DIV08-5G-D5-6_X,Division 8 RTU,DIV08-5G,DIV08-5G-D5
bm_20181006100_2019-01-07 08:00:00,20181006100,2019-01-07 08:00:00,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT
bm_20190114158_2019-02-19 20:00:00,20190114158,2019-02-19 20:00:00,DIV6-1A-12-1,Division 6,DIV6-1A,DIV6-1A-12
bm_20131028241_2017-05-19 07:30:00,20131028241,2017-05-19 07:30:00,Div11-CD-204-1,Division 11,DIV11-CD,DIV11-CD-204
bm_20180425025_2018-11-23 23:00:00,20180425025,2018-11-23 23:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20180524170_2019-02-09 00:25:00,20180524170,2019-02-09 00:25:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20180629104_2018-10-05 17:30:00,20180629104,2018-10-05 17:30:00,Div11-BA-102-2,Division 11,DIV11-BA,DIV11-BA-102
bm_20170901097_2019-01-23 13:30:00,20170901097,2019-01-23 13:30:00,DIV9-2C-2162-2,Division 9,DIV9-2C,DIV9-2C-2162
bm_20180304162_2018-05-13 23:00:00,20180304162,2018-05-13 23:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20161115104_2019-01-18 09:30:00,20161115104,2019-01-18 09:30:00,DIV9-2C-2159-2,Division 9,DIV9-2C,DIV9-2C-2159
bm_20180307058_2018-06-16 05:00:00,20180307058,2018-06-16 05:00:00,DIV 15-EMAW-EM AWOLS-GENERAL,Division 15,DIV15-EMAW,DIV15-EMAW-EM AWOLS
bm_20170209026_2019-02-22 12:06:00,20170209026,2019-02-22 12:06:00,DIV10-4C-4318-2,Division 10,DIV10-4C,DIV10-4C-4318
bm_20181217017_2019-01-31 15:00:00,20181217017,2019-01-31 15:00:00,DIV08-4C-D2-28,Division 8 RTU,DIV08-4C,DIV08-4C-D2
bm_20161207002_2019-02-26 11:16:00,20161207002,2019-02-26 11:16:00,DIV8-2N-Dayroom-DR,Division 8,DIV8-2N,DIV8-2N-Dayroom
bm_20180615021_2019-02-15 12:30:00,20180615021,2019-02-15 12:30:00,DIV10-4A-4124-1,Division 10,DIV10-4A,DIV10-4A-4124
bm_20180410194_2019-02-25 19:30:00,20180410194,2019-02-25 19:30:00,DIV8-2N-Dayroom-DR,Division 8,DIV8-2N,DIV8-2N-Dayroom
bm_20180502163_2019-02-25 11:54:00,20180502163,2019-02-25 11:54:00,DIV10-4A-4117-1,Division 10,DIV10-4A,DIV10-4A-4117
bm_20140914030_2019-02-24 10:53:00,20140914030,2019-02-24 10:53:00,DIV9-3D-3188-2,Division 9,DIV9-3D,DIV9-3D-3188
bm_20170802213_2018-09-26 11:45:00,20170802213,2018-09-26 11:45:00,DIV9-3D-3390-1,Division 9,DIV9-3D,DIV9-3D-3390
bm_20170224257_2019-01-16 10:30:00,20170224257,2019-01-16 10:30:00,DIV9-2C-2367-2,Division 9,DIV9-2C,DIV9-2C-2367
bm_20171114017_2018-11-19 12:00:00,20171114017,2018-11-19 12:00:00,DIV9-2C-2363-2,Division 9,DIV9-2C,DIV9-2C-2363
bm_20170918200_2019-02-13 09:30:00,20170918200,2019-02-13 09:30:00,DIV9-1G-1085-2,Division 9,DIV9-1G,DIV9-1G-1085
bm_20160630129_2019-02-07 17:00:00,20160630129,2019-02-07 17:00:00,DIV9-1G-1285-2,Division 9,DIV9-1G,DIV9-1G-1285
bm_20180928050_2019-02-19 20:00:00,20180928050,2019-02-19 20:00:00,DIV9-1G-1291-2,Division 9,DIV9-1G,DIV9-1G-1291
bm_20170812003_2019-02-21 11:45:00,20170812003,2019-02-21 11:45:00,DIV9-1G-1092-2,Division 9,DIV9-1G,DIV9-1G-1092
bm_20180330219_2019-02-05 21:30:00,20180330219,2019-02-05 21:30:00,DIV9-1G-1084-2,Division 9,DIV9-1G,DIV9-1G-1084
bm_20180619103_2019-01-18 09:00:00,20180619103,2019-01-18 09:00:00,DIV6-2D-17-2,Division 6,DIV6-2D,DIV6-2D-17
bm_20180614202_2019-01-28 12:08:00,20180614202,2019-01-28 12:08:00,DIV10-3A-3105-2,Division 10,DIV10-3A,DIV10-3A-3105
bm_20161207002_2019-02-24 12:47:00,20161207002,2019-02-24 12:47:00,DIV8-3S-3103-1,Division 8,DIV8-3S,DIV8-3S-3103
bm_20180528048_2019-02-17 14:30:00,20180528048,2019-02-17 14:30:00,DIV8-2N-Dayroom-DR,Division 8,DIV8-2N,DIV8-2N-Dayroom
bm_20180519002_2019-02-15 16:30:00,20180519002,2019-02-15 16:30:00,Div11-DG-404-2,Division 11,DIV11-DG,DIV11-DG-404
bm_20180603164_2019-02-25 11:00:00,20180603164,2019-02-25 11:00:00,DIV08-2F-D2-15,Division 8 RTU,DIV08-2F,DIV08-2F-D2
bm_20180509014_2019-02-20 03:00:00,20180509014,2019-02-20 03:00:00,DIV08-2F-D2-35,Division 8 RTU,DIV08-2F,DIV08-2F-D2
bm_20180822213_2019-02-20 01:00:00,20180822213,2019-02-20 01:00:00,DIV08-2G-D3-36,Division 8 RTU,DIV08-2G,DIV08-2G-D3
bm_20180810002_2019-02-12 12:00:00,20180810002,2019-02-12 12:00:00,DIV08-5D-D3-15,Division 8 RTU,DIV08-5D,DIV08-5D-D3
bm_20170411003_2019-02-23 09:30:00,20170411003,2019-02-23 09:30:00,Div11-CD-201-2,Division 11,DIV11-CD,DIV11-CD-201
bm_20170703185_2019-02-23 09:30:00,20170703185,2019-02-23 09:30:00,Div11-CD-201-1,Division 11,DIV11-CD,DIV11-CD-201
bm_20180306218_2019-01-18 15:30:00,20180306218,2019-01-18 15:30:00,DIV9-3G-3087-1,Division 9,DIV9-3G,DIV9-3G-3087
bm_20181026027_2018-12-05 12:30:00,20181026027,2018-12-05 12:30:00,DIV6-1H-8-1,Division 6,DIV6-1H,DIV6-1H-8
bm_20150908010_2019-02-15 09:30:00,20150908010,2019-02-15 09:30:00,DIV10-4A-4114-2,Division 10,DIV10-4A,DIV10-4A-4114
bm_20180425182_2019-01-12 12:31:00,20180425182,2019-01-12 12:31:00,Div11-BD-208-1,Division 11,DIV11-BD,DIV11-BD-208
