alternative,det_values_st,det_values_lt,soc_values_st,soc_values_lt,govt_costs_st,govt_costs_lt,mvpf_value
1,-111.223079,-4588.370319558158,95835.42032691505,1848000,448677628,166.11472856665273,22402.297512059136
2,-99.44,-4588.370319558158,95835.42032691505,1848000,448677628,166.11472856665273,22402.29840351537
3,-111.223079,-4588.370319558158,95835.42032691505,973000,448677628,166.11472856665273,12317.945089565415
4,-111.223079,-4588.370319558158,95835.42032691505,1848000,448677628,166.11472856665273,22402.297512059136
