alternative,det_values_st,det_values_lt,soc_values_st,soc_values_lt,govt_costs_st,govt_costs_lt,det_total,soc_total,gov_total,mvpf_value
1,-111.223079,-4588.370319558158,95835.42032691505,-973000,559885534.7742606,166.11472856665273,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316
2,-288797.61041208,-4588.370319558158,95835.42032691505,-973000,559885534.7742606,166.11472856665273,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823
3,-111.223079,-4588.370319558158,95835.42032691505,-973000,440.4371024438647,166.11472856665273,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222
4,-111.223079,-4588.370319558158,95835.42032691505,-1848000,559885534.7742606,166.11472856665273,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073
