booking_id,facility,section,cell,bed_assignment,bed_start_date,bed_end_date
20180510147,Division 8 RTU,DIV08-3C,DIV08-3C-D2,DIV08-3C-D2-7_C,2018-09-13 10:00:00,2018-09-18 19:00:00
20180510147,Division 15,DIV15-HP,DIV15-HP-HOSPITAL,DIV 15-HP-HOSPITAL-GENERAL,2018-09-18 19:00:00,2018-09-20 18:41:00
20180510147,Division 8 RTU,DIV08-3C,DIV08-3C-D2,DIV08-3C-D2-7_C,2018-09-20 23:00:00,2018-09-26 14:00:00
20180510147,Division 8 RTU,DIV08-2B,DIV08-2B-D1,DIV08-2B-D1-7,2018-09-26 14:00:00,2018-10-07 20:30:00
20180510147,Division 15,DIV15-HP,DIV15-HP-HOSPITAL,DIV 15-HP-HOSPITAL-GENERAL,2018-10-07 20:30:00,2018-10-11 10:09:00
20180510147,Division 8 RTU,DIV08-3D,DIV08-3D-D3,DIV08-3D-D3-9_C,2018-10-11 12:30:00,2018-10-11 12:30:00
20180510147,Division 8 RTU,DIV08-2B,DIV08-2B-D1,DIV08-2B-D1-11,2018-10-11 12:30:00,2018-10-15 09:30:00
20180510147,Division 8 RTU,DIV08-3C,DIV08-3C-D2,DIV08-3C-D2-11,2018-10-15 09:30:00,2019-02-11 05:00:00
20180510147,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,2019-02-11 08:00:00,
20180510152,Division 6,DIV6-1D,DIV6-1D-8,DIV6-1D-8-2,2018-05-10 23:30:00,2018-05-11 09:00:00
20180510152,Division 6,DIV6-2R,DIV6-2R-5,DIV6-2R-5-1,2018-05-11 09:00:00,2018-05-17 11:30:00
20180510152,Division 11,DIV11-DJ,DIV11-DJ-305,Div11-DJ-305-1,2018-05-17 12:00:00,2018-05-21 15:30:00
20180510152,Division 11,DIV11-BG,DIV11-BG-302,Div11-BG-302-1,2018-05-21 15:30:00,2018-05-23 20:00:00
20180510152,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-05-24 00:00:00,2019-01-18 21:34:17
20180510154,Division 6,DIV6-1D,DIV6-1D-4,DIV6-1D-4-1,2018-05-10 23:30:00,2018-05-12 08:00:00
20180510154,Division 6,DIV6-2L,DIV6-2L-2,DIV6-2L-2-2,2018-05-12 08:00:00,2018-05-17 11:30:00
20180510154,Division 11,DIV11-DJ,DIV11-DJ-404,Div11-DJ-404-2,2018-05-17 12:00:00,2018-05-21 15:30:00
20180510154,Division 11,DIV11-BH,DIV11-BH-405,Div11-BH-405-2,2018-05-21 15:30:00,2018-07-23 18:20:00
20180510157,Division 8 RTU,DIV08-3C,DIV08-3C-D2,DIV08-3C-D2-15,2018-05-10 23:00:00,2018-06-29 19:00:00
20180510157,Division 8 RTU,DIV08-4A,DIV08-4A-4,DIV08-4A-4-2,2018-06-29 19:00:00,2018-07-03 10:00:00
20180510157,Division 8 RTU,DIV08-3B,DIV08-3B-D1,DIV08-3B-D1-39,2018-07-03 10:30:00,2018-09-05 09:11:00
20180510157,Division 10,DIV10-3D,DIV10-3D-3412,DIV10-3D-3412-1,2018-09-05 10:00:00,2018-09-06 13:00:00
20180510157,Division 10,DIV10-4A,DIV10-4A-4106,DIV10-4A-4106-2,2018-09-06 13:30:00,2019-01-11 03:00:00
20180510157,Division 10,DIV10-4A,DIV10-4A-4124,DIV10-4A-4124-2,2019-01-11 03:00:00,2019-01-15 16:30:00
20180510157,Division 10,DIV10-4A,DIV10-4A-4106,DIV10-4A-4106-2,2019-01-15 16:30:00,2019-01-17 05:00:00
20180510157,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,2019-01-17 08:00:00,2019-01-17 19:00:00
20180510157,Division 6,DIV6-1Q,DIV6-1Q-6,DIV6-1Q-6-1,2019-01-18 04:00:00,2019-01-18 11:30:00
20180510157,Division 11,DIV11-AG,DIV11-AG-307,Div11-AG-307-1,2019-01-18 12:30:00,2019-01-19 12:30:00
20180510157,Division 9,DIV9-1H,DIV9-1H-1267,DIV9-1H-1267-1,2019-01-19 13:07:00,2019-01-22 20:00:00
20180510157,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2019-01-23 00:00:00,
20180510162,Division 6,DIV6-2Q,DIV6-2Q-19,DIV6-2Q-19-1,2018-05-10 23:30:00,2018-05-12 13:30:00
20180510162,Division 6,DIV6-1H,DIV6-1H-10,DIV6-1H-10-1,2018-05-12 13:30:00,2018-06-08 19:30:00
20180510162,Division 6,DIV6-1K,DIV6-1K-7,DIV6-1K-7-1,2018-06-08 19:30:00,2018-07-03 21:00:00
20180510162,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-07-03 23:30:00,2018-08-16 17:25:18
20180510166,Division 11,DIV11-DB,DIV11-DB-103,Div11-DB-103-1,2018-05-17 10:30:00,2018-05-24 21:30:00
20180510166,Division 11,DIV11-DH,DIV11-DH-305,Div11-DH-305-1,2018-05-24 21:30:00,2018-05-29 17:25:00
20180510166,Division 10,DIV10-3C,DIV10-3C-3302,DIV10-3C-3302-1,2018-05-29 23:30:00,2018-06-04 13:30:00
20180510166,Division 4,DIV4-Q2,DIV4-Q2-204,DIV4-Q2-204-1,2018-06-03 00:00:00,2018-06-03 10:43:00
20180510166,Division 10,DIV10-3C,DIV10-3C-3302,DIV10-3C-3302-2,2018-06-04 13:30:00,2018-06-07 11:00:00
20180510166,Division 6,DIV6-1N,DIV6-1N-10,DIV6-1N-10-1,2018-06-07 11:30:00,2018-06-08 19:30:00
20180510166,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-06-08 23:30:00,2018-08-12 20:00:00
20180510166,Division 15,DIV15-EMAW,DIV15-EMAW-EM AWOLS,DIV 15-EMAW-EM AWOLS-GENERAL,2018-08-12 20:00:00,2018-11-02 16:00:00
20180510166,Division 11,DIV11-DC,DIV11-DC-112,Div11-DC-112-1,2018-11-03 00:00:00,2018-11-08 18:30:00
20180510166,Division 11,DIV11-DC,DIV11-DC-111,Div11-DC-111-1,2018-11-08 19:00:00,
20180510171,Division 6,DIV6-1D,DIV6-1D-1,DIV6-1D-1-2,2018-05-10 23:30:00,2018-05-11 19:00:00
20180510171,Division 2,DIV2-D4,DIV2-D4-ML,DIV2-D4-ML-38,2018-05-12 02:00:00,2018-05-12 21:30:00
20180510171,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-05-12 23:30:00,2018-07-17 18:32:00
20180510176,Division 2,DIV2-D4,DIV2-D4-PU,DIV2-D4-PU-23,2018-05-10 23:30:00,2018-06-30 03:00:00
20180510176,Division 2,DIV2-D2,DIV2-D2-W,DIV2-D2-W-34,2018-06-30 03:00:00,2018-07-13 22:00:00
20180510177,Division 6,DIV6-2N,DIV6-2N-17,DIV6-2N-17-2,2018-05-10 23:30:00,2018-05-17 11:30:00
20180510177,Division 11,DIV11-DJ,DIV11-DJ-401,Div11-DJ-401-1,2018-05-17 12:00:00,2018-05-21 05:00:00
20180510177,Division 15,DIV15-SPIDOC,DIV15-SPIDOC-IDOC SPCMVNT,DIV 15-SPIDOC-IDOC SPCMVNT-GENERAL,2018-05-21 07:30:00,2019-01-08 21:57:40
20180510179,Division 4,DIV4-Q2,DIV4-Q2-201,DIV4-Q2-201-1,2018-05-11 00:00:00,2018-05-17 10:42:00
20180510179,Division 11,DIV11-DB,DIV11-DB-101,Div11-DB-101-1,2018-05-17 10:30:00,2018-05-24 08:00:00
20180510179,Division 11,DIV11-AC,DIV11-AC-102,Div11-AC-102-1,2018-05-24 08:00:00,2018-07-21 21:00:00
20180510179,Division 11,DIV11-AF,DIV11-AF-412,Div11-AF-412-2,2018-07-21 21:00:00,2018-09-07 11:00:00
20180510179,Division 9,DIV9-1G,DIV9-1G-1287,DIV9-1G-1287-2,2018-09-07 11:30:00,2018-09-08 11:30:00
20180510179,Division 9,DIV9-1G,DIV9-1G-1282,DIV9-1G-1282-2,2018-09-08 11:30:00,2018-09-14 17:00:00
20180510179,Division 9,DIV9-3D,DIV9-3D-3184,DIV9-3D-3184-2,2018-09-14 17:00:00,2018-10-26 22:30:00
20180510179,Division 9,DIV9-1E,DIV9-1E-1007,DIV9-1E-1007-2,2018-10-26 22:30:00,2018-11-01 10:30:00
20180510179,Division 9,DIV9-2D,DIV9-2D-2192,DIV9-2D-2192-1,2018-11-01 10:30:00,2019-01-08 20:00:00
20180510179,Division 9,DIV9-1E,DIV9-1E-1205,DIV9-1E-1205-1,2019-01-08 19:30:00,2019-01-14 10:20:00
20180510179,Division 9,DIV9-1D,DIV9-1D-1390,DIV9-1D-1390-1,2019-01-14 10:20:00,2019-01-15 15:30:00
20180510179,Division 9,DIV9-3A,DIV9-3A-3335,DIV9-3A-3335-1,2019-01-15 15:30:00,
20180510183,Division 8,DIV8-2N,DIV8-2N-Dayroom,DIV8-2N-Dayroom-DR,2018-05-10 20:00:00,2018-05-21 17:00:00
20180510183,Division 8,DIV8-2E,DIV8-2E-2171,DIV8-2E-2171-3,2018-05-21 17:00:00,2018-06-26 09:00:00
20180510183,Division 8 RTU,DIV08-4C,DIV08-4C-D2,DIV08-4C-D2-6_X,2018-06-26 09:00:00,2018-08-06 12:30:00
20180510183,Division 8 RTU,DIV08-4D,DIV08-4D-D3,DIV08-4D-D3-3_X,2018-08-06 12:30:00,2018-08-14 10:00:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-10,DIV08-4A-10-1_X,2018-08-14 10:00:00,2018-08-14 19:30:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-1,DIV08-4A-1-2,2018-08-14 19:30:00,2018-08-14 21:30:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-4,DIV08-4A-4-2,2018-08-14 21:30:00,2018-08-16 09:35:00
20180510183,Division 8 RTU,DIV08-4B,DIV08-4B-D1,DIV08-4B-D1-36,2018-08-16 09:36:00,2018-08-29 23:30:00
20180510183,Division 8 RTU,DIV08-4F,DIV08-4F-D4,DIV08-4F-D4-37,2018-08-30 00:00:00,2018-08-30 10:00:00
20180510183,Division 8 RTU,DIV08-2B,DIV08-2B-D1,DIV08-2B-D1-25,2018-08-30 10:00:00,2018-09-01 09:00:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-6,DIV08-4A-6-1_X,2018-09-01 09:00:00,2018-09-01 09:30:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-6,DIV08-4A-6-1_X,2018-09-01 09:30:00,2018-09-08 12:00:00
20180510183,Division 8 RTU,DIV08-3F,DIV08-3F-D4,DIV08-3F-D4-37,2018-09-08 12:00:00,2018-09-18 13:00:00
20180510183,Division 8 RTU,DIV08-2B,DIV08-2B-D1,DIV08-2B-D1-5,2018-09-18 13:00:00,2018-09-21 09:00:00
20180510183,Division 8 RTU,DIV08-3G,DIV08-3G-D5,DIV08-3G-D5-4,2018-09-21 09:00:00,2018-09-23 05:00:00
20180510183,Division 8,DIV8-2N,DIV8-2N-Dayroom,DIV8-2N-Dayroom-DR,2018-09-23 09:00:00,2018-10-02 18:30:00
20180510183,Division 8 RTU,DIV08-4H,DIV08-4H-D6,DIV08-4H-D6-34,2018-10-02 20:00:00,2018-10-03 11:30:00
20180510183,Division 8 RTU,DIV08-4F,DIV08-4F-D4,DIV08-4F-D4-36,2018-10-03 12:00:00,2018-10-20 14:30:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-7,DIV08-4A-7-1,2018-10-20 14:30:00,2018-10-23 16:00:00
20180510183,Division 8 RTU,DIV08-4F,DIV08-4F-D4,DIV08-4F-D4-13,2018-10-23 16:00:00,2018-10-24 18:00:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-4,DIV08-4A-4-1,2018-10-24 18:00:00,2018-11-03 12:30:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-9,DIV08-4A-9-2,2018-10-24 18:00:00,2018-10-24 18:00:00
20180510183,Division 8 RTU,DIV08-4G,DIV08-4G-D5,DIV08-4G-D5-10,2018-11-03 12:30:00,2019-01-03 21:30:00
20180510183,Division 8 RTU,DIV08-3E,DIV08-3E-1,DIV08-3E-1-1_C,2019-01-03 21:45:00,2019-01-04 08:00:00
20180510183,Division 8 RTU,DIV08-4A,DIV08-4A-7,DIV08-4A-7-1,2019-01-04 08:00:00,2019-01-17 08:46:00
20180510183,Division 8 RTU,DIV08-4F,DIV08-4F-D4,DIV08-4F-D4-5,2019-01-17 08:46:00,2019-02-20 13:30:00
20180510183,Division 8,DIV8-2N,DIV8-2N-Dayroom,DIV8-2N-Dayroom-DR,2019-02-20 13:30:00,2019-02-25 19:00:00
20180510183,Division 8 RTU,DIV08-4F,DIV08-4F-D4,DIV08-4F-D4-21,2019-02-25 20:00:00,
20180510188,Division 8 RTU,DIV08-2G,DIV08-2G-D3,DIV08-2G-D3-28,2018-05-10 23:30:00,2018-05-15 21:30:00
20180510188,Division 6,DIV6-2Q,DIV6-2Q-13,DIV6-2Q-13-2,2018-05-15 23:30:00,2018-07-09 20:00:00
20180510188,Division 6,DIV6-2Q,DIV6-2Q-1,DIV6-2Q-1-1,2018-07-09 20:00:00,2018-07-26 17:00:00
20180510189,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-05-10 23:00:00,2018-09-19 18:00:00
20180510189,Division 11,DIV11-BJ,DIV11-BJ-303,Div11-BJ-303-2,2018-09-19 23:30:00,2018-09-20 04:30:00
20180510193,Division 2,DIV2-D4,DIV2-D4-QU,DIV2-D4-QU-13,2018-05-10 23:30:00,2018-06-30 00:30:00
20180510193,Division 2,DIV2-D3,DIV2-D3-BB,DIV2-D3-BB-20,2018-06-30 00:30:00,2018-08-28 04:00:00
