scenario,mvpf,detainee_total,society_total,govt_total,det_WTP for Freedom,det_Relative Harm Valuation (RHV),soc_Valuation of effects of detention on court appearance,soc_Incapacitation and deterrance crime effects of detention  ,soc_Acute Cost of crime - HAVEN framework (victims),soc_Wrongful death damages Social cost of detainment (focusing on economic impact submeasure),gov_Total Funding for CCJ (2018),gov_Spike in Public Health Spending post-release
baseline,-0.003135505976367394,-341610.741612,-1413914.872553312,559885909.131373,-11.783078999999999,-341598.95853299997,15.261846687864,0.0,-1050000.0,-363930.1343999999,559885534.7742624,374.357110652013
diversion_program,-0.0006500291485932672,-11.783078999999999,-363930.1343999999,559885534.7742624,-11.783078999999999,,,0.0,,-363930.1343999999,559885534.7742624,
bail_reform,-0.0024855255667551885,-341610.741612,-1050000.0,559885909.131373,-11.783078999999999,-341598.95853299997,,0.0,-1050000.0,,559885534.7742624,374.357110652013
capacity_expansion,-0.003135505976367394,-341610.741612,-1413914.872553312,559885909.131373,-11.783078999999999,-341598.95853299997,15.261846687864,0.0,-1050000.0,-363930.1343999999,559885534.7742624,374.357110652013
