scenario_key,scenario_name,mvpf,detainee_total,society_total,govt_total,numerator,det_Relative Harm Valuation (RHV),soc_Valuation of effects of detention on court appearance,soc_Incapacitation and deterrance crime effects of detention  ,gov_Total Funding for CCJ (2018),param_crime_rate_mult,param_detainee_pop_mult,param_community_size_mult,param_length_of_stay_mult,param_crime_weight_mult,param_recidivism_mult,det_WTP for Freedom,param_gov_operations_mult,soc_Wrongful death damages Social cost of detainment (focusing on economic impact submeasure),param_soc_spillover_mult,gov_Spike in Public Health Spending post-release,soc_Acute Cost of crime - HAVEN framework (victims)
baseline,Baseline - Current Operations,-0.0006100955918141975,-341598.95853299997,15.261846687864,559885534.7742624,-341583.6966863121,-341598.95853299997,15.261846687864,0.0,559885534.7742624,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
most conservative,Conservative Approach,6.213355180298754e-09,-11.783078999999999,15.261846687864,559885534.7742624,3.4787676878640017,,15.261846687864,,559885534.7742624,1.0,1.0,1.0,1.0,1.0,1.0,-11.783078999999999,1.0,,,,
least conservative,Least Conservative Approach,-0.0011517690110467126,-341598.95853299997,-303259.8501533121,559885534.7742624,-644858.808686312,-341598.95853299997,15.261846687864,,559885534.7742624,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,-303275.11199999996,,,
4,4,-0.0005416653418707807,-15.3180027,-303255.27159930574,559885534.7742624,-303270.5896020057,,19.840400694223202,,559885534.7742624,1.0,1.3,1.0,1.0,1.0,1.0,-15.3180027,,-303275.11199999996,0.25,,
reduced_crime,Reduced Crime Scenario,-0.0013347965283578478,-444078.64609289996,-303255.27159930574,559886021.4385062,-747333.9176922056,-444078.64609289996,19.840400694223202,0.0,559885534.7742624,1.0,1.3,1.0,1.0,1.0,1.0,,,-303275.11199999996,0.25,486.6642438476169,
increased_crime,Increased Crime Scenario,-0.0028976500501380837,-444078.64609289996,-1178275.112,559886021.4385062,-1622353.7580928998,-444078.64609289996,,,559885534.7742624,1.0,1.3,1.0,1.0,1.0,1.0,,,-303275.11199999996,0.25,486.6642438476169,-875000.0
diversion_program,Pre-Trial Diversion Program,-0.0005416813113003586,-4.418654624999999,-303275.11199999996,559885534.7742624,-303279.530654625,,,0.0,559885534.7742624,0.9,0.75,1.0,0.5,1.0,0.8,-4.418654624999999,,-303275.11199999996,,,
bail_reform,Bail Reform Scenario,-0.0018556879183197223,-163973.15597376,-875000.0,559885714.4656756,-1038973.15597376,-163967.50009584,,0.0,559885534.7742624,1.0,0.8,1.0,0.6,1.0,1.0,-5.655877919999999,,,,179.69141311296622,-875000.0
capacity_expansion,Facility Capacity Expansion,-0.0028976419727833706,-444093.96409559995,-1178255.2715993058,559886021.4385062,-1622349.2356949057,-444078.64609289996,19.840400694223202,0.0,559885534.7742624,1.0,1.3,1.0,1.0,1.0,1.0,-15.3180027,1.4,-303275.11199999996,,486.6642438476169,-875000.0
